title,release_date_clean,critic_score_scaled,audience_score_scaled
The Cassandra Crossing,1977-02-09,3.6,5.2
The Cassandra Crossing,1977-02-09,3.6,5.2
Mikey and Nicky,1976-12-21,8.8,7.8
The Enforcer,1976-12-22,6.9,5.9
Voyage of the Damned,1976-12-22,7.7,5.2
The Town That Dreaded Sundown,2014-10-16,6.6,4.0
The Town That Dreaded Sundown,1976-12-24,4.2,4.0
Star Wars: Episode IV - A New Hope,1977-05-25,9.3,9.6
Smokey and the Bandit,1977-05-27,7.2,8.5
Close Encounters of the Third Kind,1977-11-16,9.0,8.5
Saturday Night Fever,1977-12-16,8.2,7.1
The Goodbye Girl,1977-11-30,8.0,8.5
The Deep,1977-06-17,4.2,3.8
The Deep,1977-06-17,4.2,3.8
The Spy Who Loved Me,1977-08-03,8.2,7.7
"Oh, God!",1977-10-07,7.5,5.9
Annie Hall,1977-01-01,9.7,9.2
The Sentinel,2006-04-21,3.5,4.1
Pumping Iron,1977-01-18,9.2,8.4
Providence,1977-02-09,7.3,8.6
The Late Show,1977-02-10,9.5,7.7
The Late Show,1977-02-10,9.5,7.7
Fun With Dick and Jane,2005-12-21,2.9,4.9
Twilight's Last Gleaming,1977-02-09,8.0,7.3
Wizards,1977-03-02,6.2,6.9
Slap Shot,1977-02-25,8.5,8.8
Airport '77,1977-03-11,4.0,3.2
Eraserhead,1977-03-17,8.9,8.2
Rabid,1977-04-08,7.8,4.6
Annie Hall,1977-01-01,9.7,9.2
3 Women,1977-04-10,8.5,8.6
Between the Lines,1977-04-27,9.4,5.2
The Man Who Loved Women,1977-04-27,8.2,8.5
Cross of Iron,1977-01-28,7.1,8.7
Star Wars: Episode IV - A New Hope,1977-05-25,9.3,9.6
Desperate Living,1977-05-27,7.0,8.0
Smokey and the Bandit,1977-05-27,7.2,8.5
The Other Side of Midnight,1977-06-08,2.5,7.3
Exorcist II: The Heretic,1977-06-17,1.1,1.3
"New York, New York",1977-06-21,5.7,5.8
Herbie Goes to Monte Carlo,1977-06-24,6.0,5.7
The Rescuers,1977-06-22,7.9,6.8
Stroszek,1977-01-12,9.6,9.2
The Spy Who Loved Me,1977-08-03,8.2,7.7
I Never Promised You a Rose Garden,1977-07-14,4.0,5.4
MacArthur,1977-07-15,4.5,6.0
The Deep,1977-06-17,4.2,3.8
The Deep,1977-06-17,4.2,3.8
The Hills Have Eyes,2006-03-10,5.2,5.8
The Hills Have Eyes,2006-03-10,5.2,5.8
The Kentucky Fried Movie,1977-08-10,8.3,6.6
Suspiria,2018-10-26,6.5,7.2
That Obscure Object of Desire,1977-10-08,9.7,9.0
"Race for Your Life, Charlie Brown!",1977-08-24,5.0,8.1
You Light Up My Life,1977-08-31,1.7,2.0
Soldier of Orange,1979-08-16,9.1,8.7
The Yellow Handkerchief,2010-02-26,6.5,6.0
"Oh, God!",1977-10-07,7.5,5.9
Alambrista,1977-10-16,10.0,7.8
Looking for Mr. Goodbar,1977-01-07,6.1,7.4
Ruby,1977-06-23,5.7,1.0
Madame Rosa,1978-03-19,8.9,9.3
Pete's Dragon,1977-11-03,5.6,6.0
Which Way Is Up?,1977-11-09,2.0,8.2
Close Encounters of the Third Kind,1977-11-16,9.0,8.5
Kingdom of the Spiders,1977-08-24,5.0,3.6
The Hobbit: An Unexpected Journey,2012-12-14,6.4,8.3
The Goodbye Girl,1977-11-30,8.0,8.5
The Last Wave,1978-10-06,8.2,7.9
Saturday Night Fever,1977-12-16,8.2,7.1
High Anxiety,1977-12-25,7.5,6.7
Opening Night,1977-12-25,9.6,9.0
Grease,1978-07-07,6.6,8.7
National Lampoon's Animal House,1978-06-01,9.1,8.9
Heaven Can Wait,1978-06-28,8.6,6.9
Hooper,1978-07-28,5.7,6.1
The Deer Hunter,1978-12-08,8.6,9.1
The Deer Hunter,1978-12-08,8.6,9.1
Get Out Your Handkerchiefs,1978-12-17,8.3,7.5
Renaldo and Clara,1978-01-25,3.8,6.7
Blue Collar,1978-02-10,9.6,8.8
Coming Home,1978-02-15,8.3,8.3
Fingers,1978-03-02,8.5,6.9
Sextette,1978-03-03,2.5,3.2
Return From Witch Mountain,1978-03-10,5.0,3.9
Straight Time,1978-03-18,8.3,8.3
Pretty Baby,1978-04-05,7.1,5.8
Scenic Route,2013-08-23,6.5,5.0
Scenic Route,2013-08-23,6.5,5.0
Dawn of the Dead,2004-03-19,7.6,7.7
I Wanna Hold Your Hand,1979-07-17,9.0,7.5
The Last Waltz,1978-12-31,9.8,9.4
FM,1978-04-20,2.0,6.3
It Lives Again,1978-05-10,4.7,2.7
The End,1978-05-10,5.6,5.0
The Buddy Holly Story,1978-05-18,10.0,7.7
Thank God It's Friday,1978-05-19,3.6,3.5
Big Wednesday,1979-08-24,6.7,8.7
The Bad News Bears Go to Japan,1978-06-30,0.6,2.8
The Cat From Outer Space,1978-06-09,6.7,5.9
The Cat From Outer Space,1978-06-09,6.7,5.9
The Driver,1978-07-10,7.9,7.7
Go Tell the Spartans,1978-09-01,6.7,5.8
Grease,1978-07-07,6.6,8.7
Shout,1991-10-04,2.0,3.9
Good Guys Wear Black,1978-03-22,1.7,3.6
Heaven Can Wait,1978-06-28,8.6,6.9
Stunt Rock,2022-03-25,8.0,3.0
Hooper,1978-07-28,5.7,6.1
Mouth to Mouth,1995-09-05,3.3,4.9
The Swarm,1978-07-14,0.9,1.9
The Swarm,1978-07-14,0.9,1.9
Star Wars: Episode IV - A New Hope,1977-05-25,9.3,9.6
Circle of Iron,1979-01-19,3.8,6.0
National Lampoon's Animal House,1978-06-01,9.1,8.9
Interiors,1978-08-02,7.8,7.9
Who'll Stop the Rain?,1978-08-02,7.9,6.3
Days of Heaven,1978-01-01,9.4,8.9
Death on the Nile,1978-09-29,8.0,7.9
The Big Fix,2011-11-11,8.6,8.4
Midnight Express,1978-09-01,9.0,8.8
Goin' South,1978-10-06,6.9,4.9
Autumn Sonata,1978-10-08,8.5,9.2
Attack of the Killer Tomatoes,1978-10-04,2.7,4.2
The Wiz,1978-10-24,4.4,6.5
Comes a Horseman,1978-10-25,6.7,5.4
Watership Down,1978-01-01,7.9,8.6
Magic,1978-11-08,8.7,6.4
"Same Time, Next Year",1978-11-22,4.0,8.5
I Spit on Your Grave,1978-11-22,5.1,4.0
The Brink's Job,1978-12-08,7.0,5.6
The Brink's Job,1978-12-08,7.0,5.6
The Deer Hunter,1978-12-08,8.6,9.1
The Deer Hunter,1978-12-08,8.6,9.1
Oliver's Story,1978-12-15,2.5,2.4
Pinocchio,2002-12-25,0.0,3.3
King of the Gypsies,1978-12-20,6.7,6.2
Starcrash,1979-03-09,3.3,3.6
California Suite,1978-12-15,4.8,4.5
Ice Castles,1978-12-31,4.4,6.8
Kramer vs. Kramer,1979-12-19,8.9,8.9
The Amityville Horror,1979-07-27,3.1,5.2
The Amityville Horror,2005-04-15,2.4,5.2
Rocky II,1979-06-15,7.1,8.2
Star Trek: The Motion Picture,1979-12-06,5.3,4.2
Alien,1979-05-25,9.3,9.4
Apocalypse Now,1979-08-15,9.7,9.4
10,1979-10-05,6.8,5.6
The Jerk,1979-12-14,8.2,8.4
The Muppet Movie,1979-06-22,8.9,8.8
The Muppet Movie,1979-06-22,8.9,8.8
Richard Pryor: Live in Concert,1979-01-26,9.2,9.3
Agatha,1979-02-09,7.1,5.8
Norma Rae,1979-03-02,9.1,7.9
Real Life,1979-03-02,8.2,8.3
Starcrash,1979-03-09,3.3,3.6
Hair,1979-03-14,8.3,8.7
The China Syndrome,1979-03-16,8.8,8.1
Phantasm,1979-03-28,7.4,6.7
Love at First Bite,1979-04-27,7.0,5.5
Mad Max,1980-06-13,9.0,7.0
Manhattan,1979-03-14,9.4,9.2
Dreamer: Inspired by a True Story,2005-10-16,6.4,7.8
A Little Romance,1979-04-27,7.2,8.4
Saint Jack,1979-04-27,7.2,7.5
Winter Kills,1979-05-11,9.2,5.4
Alien,1979-05-25,9.3,9.4
Beyond the Poseidon Adventure,1979-05-18,0.0,2.1
Jaws,1975-06-20,9.7,9.0
The Brood,1979-05-25,8.1,6.8
Butch and Sundance: The Early Days,1979-06-15,3.3,5.2
The Driller Killer,1979-06-15,6.4,3.2
The Driller Killer,1979-06-15,6.4,3.2
The In-Laws,2003-05-23,3.3,4.0
Rocky II,1979-06-15,7.1,8.2
The Muppet Movie,1979-06-22,8.9,8.8
The Muppet Movie,1979-06-22,8.9,8.8
Nightwing,1979-06-22,3.3,2.6
Meatballs,1979-06-28,7.3,5.7
Breaking Away,1979-07-18,9.5,8.8
The Frisco Kid,1979-07-13,5.4,6.7
The Wanderers,1979-07-04,8.9,8.7
The Europeans,1979-10-08,8.0,3.8
The Europeans,1979-10-08,8.0,3.8
The Amityville Horror,1979-07-27,3.1,5.2
The Amityville Horror,2005-04-15,2.4,5.2
North Dallas Forty,1979-08-03,8.5,7.1
More American Graffiti,1979-08-03,2.0,3.3
Apocalypse Now,1979-08-15,9.7,9.4
Star Wars: Episode IV - A New Hope,1977-05-25,9.3,9.6
Life of Brian,1979-08-17,9.6,9.3
My Brilliant Career,1980-02-01,8.6,6.6
The Seduction of Joe Tynan,1979-08-17,7.5,3.8
Rock 'n' Roll High School,1979-08-24,8.1,7.5
The Tempest,2010-12-10,3.1,2.7
The Onion Field,1979-09-07,8.7,6.4
The Onion Field,1979-09-07,8.7,6.4
Yanks,1979-09-19,5.7,6.2
Heartland,1979-09-22,10.0,8.6
Time After Time,1979-08-31,8.8,7.1
When a Stranger Calls,2006-02-03,0.9,4.3
Wise Blood,1979-12-12,8.8,7.4
10,1979-10-05,6.8,5.6
Nosferatu the Vampyre,1979-10-01,9.5,8.3
The Black Stallion,1979-10-17,9.0,8.3
...And Justice for All,1979-10-19,8.3,8.0
Avalanche Express,1979-10-19,2.0,1.2
The Great Santini,1979-10-26,9.5,7.5
The Great Santini,1979-10-26,9.5,7.5
Tess,1979-10-25,8.1,7.7
Quadrophenia,1979-11-02,10.0,8.3
The Rose,1979-11-07,7.4,8.1
Star Trek: The Motion Picture,1979-12-06,5.3,4.2
Wise Blood,1979-12-12,8.8,7.4
1941,1979-12-14,3.9,4.8
Chapter Two,1979-12-14,5.0,3.5
The Jerk,1979-12-14,8.2,8.4
Being There,1979-12-19,9.5,9.2
The Human Factor,1979-12-18,3.3,2.8
The Human Factor,1979-12-18,3.3,2.8
Kramer vs. Kramer,1979-12-19,8.9,8.9
The Electric Horseman,1979-12-21,6.4,5.7
Going in Style,1979-12-25,8.2,7.5
Star Wars: Episode V - The Empire Strikes Back,1980-05-21,9.5,9.7
Star Wars: Episode V - The Empire Strikes Back,1980-05-21,9.5,9.7
9 to 5,1980-12-19,6.9,7.4
Stir Crazy,1980-12-12,6.9,7.5
Airplane!,1980-01-01,9.7,8.9
Any Which Way You Can,1980-12-17,2.0,4.5
Private Benjamin,1980-10-10,8.3,6.0
Coal Miner's Daughter,1980-03-07,8.6,8.6
Smokey and the Bandit II,1980-09-15,2.5,4.3
The Blue Lagoon,1980-07-04,1.2,5.3
The Blue Lagoon,1980-07-04,1.2,5.3
The Blues Brothers,1980-06-18,7.2,9.2
The Blues Brothers,1980-06-18,7.2,9.2
Windows,1980-01-18,0.0,1.0
American Gigolo,1980-02-08,7.5,5.0
Fatso,1980-02-01,2.9,6.5
The Fog,2005-10-14,0.4,1.9
Cruising,1980-02-08,5.1,4.9
Mad Max,1980-06-13,9.0,7.0
The Ninth Configuration,1980-08-08,8.1,7.6
Coal Miner's Daughter,1980-03-07,8.6,8.6
Breaker Morant,1980-05-16,10.0,9.1
Nijinsky,1980-03-21,5.0,2.9
The Changeling,1980-03-28,8.5,7.9
Serial,1980-03-28,6.0,7.8
When Time Ran Out,1980-03-28,0.0,2.0
Heart Beat,1980-04-25,2.0,4.0
Where the Buffalo Roam,1980-04-25,1.9,7.3
The Nude Bomb,1980-05-09,1.7,3.9
Fame,1980-05-16,8.1,6.9
The Great Rock 'n' Roll Swindle,1990-08-01,10.0,7.2
Star Wars: Episode V - The Empire Strikes Back,1980-05-21,9.5,9.7
Star Wars: Episode V - The Empire Strikes Back,1980-05-21,9.5,9.7
The Shining,1980-05-23,8.3,9.3
The Hollywood Knights,1980-05-30,1.4,7.1
The Mountain Men,1980-06-01,4.3,6.3
Galaxina,1980-06-06,1.7,2.2
Up the Academy,1980-06-06,0.0,4.3
Urban Cowboy,1980-06-06,7.0,8.0
The Island,2005-07-22,4.0,6.3
The Blues Brothers,1980-06-18,7.2,9.2
The Blues Brothers,1980-06-18,7.2,9.2
Brubaker,1980-06-20,7.5,7.3
Can't Stop the Music,1980-06-20,2.2,3.7
Herbie Goes Bananas,1980-06-25,4.0,3.6
The Stunt Man,1980-06-27,9.1,7.3
Airplane!,1980-01-01,9.7,8.9
The Blue Lagoon,1980-07-04,1.2,5.3
The Blue Lagoon,1980-07-04,1.2,5.3
Used Cars,1980-07-11,7.7,6.9
The Big Red One,1980-07-18,9.0,7.8
The Big Red One,1980-07-18,9.0,7.8
Honeysuckle Rose,1980-07-18,6.0,7.5
Prom Night,2008-04-11,0.9,3.8
Caddyshack,1980-07-25,7.2,8.7
Dressed to Kill,1980-06-23,8.3,7.4
The Fiendish Plot of Dr. Fu Manchu,1980-08-08,1.5,4.2
The Fiendish Plot of Dr. Fu Manchu,1980-08-08,1.5,4.2
Xanadu,1980-08-08,3.0,5.8
Smokey and the Bandit II,1980-09-15,2.5,4.3
The Octagon,1980-08-14,2.5,3.2
He Knows You're Alone,1980-09-12,3.0,3.1
Battle Beyond the Stars,1980-08-10,5.0,4.2
The Gods Must Be Crazy,1981-08-28,8.5,8.4
The Gods Must Be Crazy,1981-08-28,8.5,8.4
The Exterminator,1980-09-10,3.8,3.9
Mother's Day,1980-09-19,4.6,3.8
Ordinary People,1980-09-19,8.9,8.8
Hopscotch,1980-09-26,8.1,7.8
My Bodyguard,1980-09-26,7.9,7.0
Stardust Memories,1980-09-26,6.6,7.8
The First Deadly Sin,1980-10-03,6.7,3.0
Somewhere in Time,1981-05-06,5.2,8.8
Terror Train,1980-10-03,4.4,3.8
Kagemusha,1980-10-06,8.9,9.2
Private Benjamin,1980-10-10,8.3,6.0
Times Square,1980-10-17,5.0,7.3
The Boogeyman,2023-06-02,6.1,6.6
Boogeyman,2005-02-04,1.3,2.1
Christmas Evil,1980-11-07,6.7,3.6
The Idolmaker,1980-11-14,9.0,8.5
Raging Bull,1980-01-01,9.2,9.3
Heaven's Gate,1981-04-23,5.7,5.4
The Apple,1998-05-27,8.5,8.4
Babylon,2019-03-08,10.0,4.6
The Competition,1980-12-03,6.7,6.3
Superman II,1980-06-19,8.3,7.6
Stir Crazy,1980-12-12,6.9,7.5
Tess,1979-10-25,8.1,7.7
Any Which Way You Can,1980-12-17,2.0,4.5
9 to 5,1980-12-19,6.9,7.4
The Formula,1980-12-19,3.0,2.2
Inside Moves,1980-12-19,6.7,7.6
The Mirror Crack'd,1980-12-19,6.2,4.7
Seems Like Old Times,1980-12-19,7.0,6.4
Altered States,1980-12-25,8.6,7.1
First Family,1980-12-25,2.0,1.1
Raiders of the Lost Ark,1981-06-12,9.3,9.6
On Golden Pond,1982-01-22,9.1,8.7
Superman II,1980-06-19,8.3,7.6
Stripes,1981-06-26,8.8,7.9
Chariots of Fire,1981-09-26,8.3,8.0
For Your Eyes Only,1981-06-26,6.9,6.4
The Four Seasons,1981-05-22,7.6,7.5
Time Bandits,1981-11-13,9.1,7.7
Scream,2022-01-14,7.6,8.2
Blood Beach,1981-01-28,1.3,2.5
The Incredible Shrinking Woman,1981-01-30,2.7,5.1
The Incredible Shrinking Woman,1981-01-30,2.7,5.1
"Fort Apache, the Bronx",1981-02-06,8.0,6.6
My Bloody Valentine,1981-12-11,5.8,5.2
American Pop,1981-02-13,6.5,8.0
Back Roads,1981-04-13,4.0,3.6
The Funhouse,1981-04-13,6.7,4.3
The Funhouse,1981-04-13,6.7,4.3
Modern Romance,1981-03-13,8.3,7.1
Cutter's Way,1981-09-12,9.2,7.0
Eyes of a Stranger,1981-04-27,4.3,3.7
Atlantic City,1981-04-03,10.0,7.8
This Is Elvis,1981-04-03,8.9,8.8
Nighthawks,1981-04-04,7.1,5.5
Excalibur,1981-04-10,7.2,8.1
The Howling,1981-04-03,7.4,6.0
Knightriders,1981-04-10,8.0,6.1
Star Wars: Episode IV - A New Hope,1977-05-25,9.3,9.6
Caveman,1981-04-17,3.3,5.4
Lion of the Desert,1981-04-17,7.5,9.3
Ms. 45,1981-04-24,8.5,7.2
"Friday the 13th, Part 2",1981-05-01,3.3,4.8
Graduation Day,1981-05-01,5.7,1.8
Fan,2016-04-15,8.1,7.8
Bustin' Loose,1981-05-22,6.0,6.1
The Four Seasons,1981-05-22,7.6,7.5
Outland,1981-05-22,5.4,5.4
Dead and Buried,1981-05-29,6.8,5.9
Polyester,1981-05-29,9.4,8.1
Cheech & Chong's Nice Dreams,1981-07-24,4.3,6.8
Tuck Everlasting,2002-10-11,6.0,7.0
Clash of the Titans,1981-06-12,6.4,7.0
Freaky Friday,2003-08-06,8.8,5.8
Herbie Goes Bananas,1980-06-25,4.0,3.6
Herbie Goes to Monte Carlo,1977-06-24,6.0,5.7
History of the World: Part I,1981-06-12,6.1,8.1
Raiders of the Lost Ark,1981-06-12,9.3,9.6
Superman II,1980-06-19,8.3,7.6
Dragonslayer,1981-06-26,8.4,6.3
For Your Eyes Only,1981-06-26,6.9,6.4
The Great Muppet Caper,1981-06-26,7.8,7.8
Stripes,1981-06-26,8.8,7.9
S.O.B.,1981-06-26,8.1,6.4
